,alpha_u,alpha_i,alpha_b,dim,lr,sigma,valid_error,valid_mpr,valid_hit_rate,epoch,valid_correct_count
45,0.001,0.05,0.1,20,0.000729,0.01,-4073.061486804399,0.28876040074715426,[0.00529801 0.04139073 0.14817881 0.6218543 ],14,3062
46,0.01,0.1,0.01,30,0.000729,0.001,-4053.9529408124436,0.28358531964143735,[0.00529801 0.04139073 0.15082781 0.65877483],8,3061
47,0.001,0.001,0.05,100,0.07290000000000002,0.0001,-2138.8456819712737,0.14541102501541694,[0.00761589 0.05778146 0.20496689 0.83013245],10,5107
48,0.05,0.1,0.1,40,0.02391484500000001,0.0001,-3291.1968387004886,0.14929811155499476,[0.00844371 0.05695364 0.20198675 0.81043046],33,4704
49,0.01,0.001,0.1,10,0.000729,0.1,-4080.502183278178,0.2853336729495658,[0.00513245 0.04271523 0.14834437 0.59917219],14,3020
50,0.1,0.05,0.1,40,0.02952450000000001,0.01,-3292.8069154779587,0.1419419345613141,[0.00728477 0.06208609 0.20745033 0.82301325],26,4782
51,0.001,0.01,0.001,5,0.003486784401000002,0.001,-2575.530979726257,0.13928483971007466,[0.00778146 0.06556291 0.21804636 0.83360927],50,4660
52,0.001,0.1,0.001,45,0.000729,0.0001,-4052.038051998529,0.2807017096996185,[0.00529801 0.04139073 0.15082781 0.6660596 ],8,2957
53,0.01,0.01,0.1,60,0.02952450000000001,0.1,-1953.8134875112596,0.11799456614026081,[0.00711921 0.0647351  0.23592715 0.86953642],26,5283
54,0.001,0.01,0.05,200,0.000729,0.01,-4062.790952382291,0.29369667801699867,[0.00529801 0.04139073 0.15082781 0.63261589],8,3009
55,0.05,0.05,0.1,25,0.02952450000000001,0.01,-2915.5668192385474,0.1391477419989092,[0.00629139 0.06109272 0.21125828 0.82516556],26,4919
56,0.05,0.1,0.05,15,0.02952450000000001,0.01,-3280.478168163871,0.14164065921298405,[0.00596026 0.06192053 0.2013245  0.82533113],23,4702
57,0.1,0.05,0.01,200,0.003486784401000002,0.01,-3358.1323748376644,0.13227198791681088,[0.00711921 0.06208609 0.22135762 0.84850993],50,4628
58,0.1,0.05,0.1,100,0.000729,0.01,-4081.9223490085137,0.3325675880991306,[0.00529801 0.04139073 0.15082781 0.58956954],2,0
59,0.01,0.1,0.1,150,0.008100000000000001,0.0001,-4067.643003145371,0.24104610737235255,[0.00529801 0.04023179 0.14321192 0.65298013],8,3946
60,0.05,0.001,0.05,25,0.03645000000000001,0.1,-2513.933315766396,0.1570416744867766,[0.00877483 0.07086093 0.23178808 0.81274834],15,5045
61,0.01,0.01,0.01,45,0.02952450000000001,0.1,-1964.208897256893,0.11551974689653308,[0.00827815 0.06986755 0.24569536 0.87384106],23,5115
62,0.05,0.1,0.1,200,0.05904900000000002,0.001,-3293.1998260282994,0.15275754975824668,[0.00413907 0.05562914 0.18162252 0.81092715],23,4724
63,0.05,0.01,0.1,20,0.06561000000000002,0.0001,-2594.9068884263315,0.16206366016927107,[0.00695364 0.06142384 0.19917219 0.79403974],21,5016
64,0.1,0.01,0.1,5,0.008100000000000001,0.0001,-4067.536782416067,0.241045392390808,[0.00529801 0.04023179 0.14321192 0.65298013],8,4023
65,0.05,0.01,0.01,20,0.003486784401000002,0.01,-2483.9496835704695,0.12403571332814907,[0.00976821 0.07715232 0.24751656 0.86672185],50,4920
66,0.001,0.01,0.05,45,0.06561000000000002,0.001,-2101.308868787461,0.13525091383578672,[0.00678808 0.06142384 0.20182119 0.84288079],20,5164
67,0.05,0.05,0.01,15,0.00059049,0.1,-4074.7805107149275,0.32520421660365956,[0.00562914 0.0410596  0.15016556 0.52764901],2,0
68,0.1,0.01,0.05,150,0.02952450000000001,0.01,-2690.263200572191,0.13440459911878458,[0.00910596 0.06440397 0.22566225 0.84354305],26,5050
69,0.1,0.01,0.001,60,0.000729,0.0001,-4052.168923329602,0.2806926830576188,[0.00529801 0.04139073 0.15082781 0.6660596 ],8,2990
70,0.05,0.05,0.01,20,0.003486784401000002,0.01,-3093.029944379325,0.1322277037473966,[0.00761589 0.06357616 0.22350993 0.8455298 ],50,4677
71,0.05,0.01,0.05,15,0.07290000000000002,0.01,-2712.4551395255885,0.1626659874341992,[0.00711921 0.05066225 0.18923841 0.79321192],17,4891
72,0.05,0.05,0.001,40,0.06561000000000002,0.1,-2912.4014135988223,0.1269355444137589,[0.00678808 0.06539735 0.21970199 0.85033113],19,4830
73,0.001,0.1,0.1,200,0.008100000000000001,0.0001,-4067.6605272478323,0.24105039726161986,[0.00529801 0.04023179 0.14321192 0.65298013],8,4037
74,0.01,0.01,0.01,30,0.003486784401000002,0.1,-2108.581111302498,0.1165961516118355,[0.00827815 0.07798013 0.25678808 0.87251656],50,5064
75,0.1,0.05,0.05,100,0.03280500000000001,0.1,-3275.4579578630633,0.13352128410685332,[0.00778146 0.06738411 0.21804636 0.83741722],19,4787
