,alpha_u,alpha_i,alpha_b,dim,lr,sigma,valid_error,valid_mpr,valid_hit_rate,epoch,valid_correct_count
77,0.01,0.1,0.01,20,0.007290000000000001,0.1,-2034.293408248283,0.15622592523080484,[0.00827815 0.04668874 0.16390728 0.79403974],14,3400
78,0.001,0.01,0.01,40,0.0003486784401,0.001,-2048.9320052091957,0.1565406064830951,[0.00827815 0.04751656 0.16192053 0.79453642],50,3080
79,0.05,0.05,0.05,5,0.03280500000000001,0.1,-1994.193866548405,0.1125578464755869,[0.00877483 0.06622517 0.20728477 0.87897351],20,5193
80,0.001,0.1,0.1,45,0.02657205000000001,0.01,-1631.4284898589392,0.10791609691574834,[0.00645695 0.0486755  0.20347682 0.89089404],29,5498
81,0.05,0.1,0.05,5,0.007290000000000001,0.001,-2245.0888482274686,0.15663963142701365,[0.00430464 0.04619205 0.16307947 0.79321192],9,3130
82,0.05,0.05,0.05,60,0.003486784401000002,0.1,-2073.265802951977,0.11869958262952271,[0.00877483 0.05844371 0.19834437 0.86887417],50,4798
83,0.01,0.1,0.1,45,0.0003486784401,0.01,-2464.4574501684033,0.15665629943427056,[0.00827815 0.04751656 0.16076159 0.79453642],50,3090
84,0.1,0.001,0.01,5,0.007290000000000001,0.0001,-2012.3028832671466,0.1565245193983425,[0.00430464 0.04834437 0.1634106  0.79304636],9,3136
85,0.05,0.01,0.05,30,0.02657205000000001,0.0001,-1542.8703054632092,0.09761687713935852,[0.00745033 0.06523179 0.2307947  0.90529801],29,5568
86,0.001,0.01,0.05,30,0.0003486784401,0.001,-2259.710609123941,0.15661885227587583,[0.00827815 0.04751656 0.16076159 0.79453642],50,3081
87,0.01,0.01,0.05,20,0.0003486784401,0.01,-2261.644775450535,0.15662238249725205,[0.00827815 0.04751656 0.16076159 0.79453642],50,3010
88,0.1,0.05,0.001,30,0.0003486784401,0.001,-1998.475168225125,0.15650248902950156,[0.00827815 0.04751656 0.16192053 0.79453642],50,3057
89,0.05,0.1,0.05,100,0.0003486784401,0.001,-2261.3565355747955,0.15661871821683623,[0.00827815 0.04751656 0.16076159 0.79453642],50,3049
90,0.01,0.05,0.001,15,0.05904900000000002,0.0001,-1471.0670270265882,0.10646651652054157,[0.00728477 0.05678808 0.20711921 0.89321192],26,4513
91,0.05,0.01,0.05,5,0.02952450000000001,0.001,-1616.9329076456077,0.10504808250886997,[0.0089404  0.06423841 0.21721854 0.89403974],25,5504
92,0.05,0.001,0.05,60,0.02391484500000001,0.0001,-1283.433238737009,0.09074456390594417,[0.00943709 0.07566225 0.25877483 0.91208609],35,5617
93,0.1,0.001,0.01,5,0.04050000000000001,0.1,-1744.8244934482912,0.11755288629112287,[0.00728477 0.05645695 0.19486755 0.87533113],10,4408
94,0.05,0.05,0.01,5,0.007290000000000001,0.01,-2012.8068349605057,0.15654820316200546,[0.00827815 0.04536424 0.16043046 0.79354305],16,3569
95,0.1,0.05,0.1,60,0.03280500000000001,0.1,-2261.8268414260456,0.12303947591852742,[0.00811258 0.05993377 0.19387417 0.86175497],20,5455
96,0.001,0.1,0.01,5,0.007290000000000001,0.001,-2012.3427932380148,0.1565243853393029,[0.00430464 0.04834437 0.1634106  0.79304636],9,3140
97,0.001,0.1,0.001,10,0.03280500000000001,0.001,-1705.5656750766966,0.12827430266956144,[0.00761589 0.0544702  0.17764901 0.85695364],20,4223
98,0.1,0.05,0.01,10,0.005904900000000002,0.1,-2045.7152608641027,0.15604382836867892,[0.00827815 0.04586093 0.16307947 0.79403974],25,3707
99,0.05,0.1,0.05,45,0.045000000000000005,0.001,-2250.4702097185677,0.15807736994038787,[0.00827815 0.04536424 0.15198675 0.79387417],3,3106
